item_id;vectors
949;-0.09749016|-0.09782296|0.04958882|0.10798778|0.049268015|-0.12734944|-0.01785445|0.1338681|0.097345054|-0.019515278|-0.009102629|0.048831448|0.0186379|0.00087629777|0.064220764|0.053628016|0.06193116|0.047441352|-0.05129257|-0.05514291|-0.0063129393|0.034307607|0.19103841|-0.032371968|-0.08170452|-0.11044791|0.02297381|-0.10952126|0.016442228|-0.043623384|-0.028004266|-0.104161836|0.09341587|0.14404735|0.1209186|-0.023811188|-0.05040565|0.024240417|-0.12878822|0.061210115|0.10741684|-0.006349163|-0.0038834612|0.09080364|-0.05769546|0.081856035|-0.05353048|-0.14449288|-0.10416826|0.09069069|0.05072222|-0.03843121|0.00041156728|0.08557226|0.05702759|0.083181806|-0.03134651|0.008350033|-0.041789737|0.057908244|0.065414466|-0.070162825|-0.09081793|-0.20104736|0.13094258|-0.01897209|0.021354252|-0.13838765|0.085213795|0.049397957|0.040972937|-0.13999672|-0.09508102|-0.008896455|0.076649465|-0.07111947|-0.025108268|0.072546|-0.046889946|-0.04401141|0.02937098|0.0142081585|-0.019172339|0.12123673|0.055815797|-0.08096665|-0.014692531|-0.0387646|-0.04352503|-0.06336756|0.016132472|0.09764768|-0.04640804|-0.03552506|-0.13003883|-0.0018171233|0.019873463|-0.05533879|0.013717723|-0.053048454
950;-0.028492274|0.061577722|-0.069161944|0.022307698|-0.066446|-0.022616142|0.014026295|0.06799474|-0.036468644|0.096335806|0.0041590827|-0.083372205|0.04532145|0.0011195481|0.062244434|0.05955893|-0.017693393|-0.027607862|0.016145127|-0.039819267|0.2170813|0.03640654|-0.025993193|-0.03940078|-0.014319469|-0.049188267|-0.018997876|0.15858653|0.023577897|0.00991491|-0.044217516|0.010949483|0.009926651|-0.056268256|0.047811043|0.009076813|0.08558738|0.021948304|-0.040462054|0.007759882|-0.022416634|-0.010679851|0.0118076885|-0.0368469|-0.038240507|0.031612143|0.07748242|0.07004046|-0.051855084|-0.009508911|0.04010747|0.03301279|-0.0046090614|-0.034217544|0.099131666|-0.02725725|-0.004180617|-0.027178442|-0.07206736|-0.008205864|-0.0673673|0.117699236|0.113302335|-0.09748365|0.08813883|0.059484243|0.058635373|-0.014040514|-0.054456938|-0.022669945|0.009661729|-0.07923176|0.15460303|-0.017999966|0.042217854|-0.035646148|-0.005848355|-0.025424832|-0.0326862|-0.034299877|0.09186494|-0.09247059|0.058340292|-0.0030065698|-0.030263636|-0.025071211|0.025513722|0.090852045|0.030504433|-0.020336982|-0.1059189|-0.04356414|0.08171026|0.07582502|0.08803436|-0.09165053|-0.068427496|0.052563187|0.04476804|0.025455654
951;0.0063156513|0.045276083|0.06659824|0.015222186|0.18994021|0.045276724|0.040889613|0.05892611|-0.026884064|0.07523375|0.05659868|0.22522238|-0.13401212|0.11474561|0.2046628|0.10139315|0.04886701|-0.0040954677|0.03590428|0.2195939|0.15426134|-0.08181347|-0.044128958|0.042725295|-0.1624875|0.017478583|-0.12716925|0.1653084|0.029807048|0.03185844|0.01948723|-0.012356669|0.044886984|-0.037138924|-0.068664126|-0.0827529|-0.08029788|0.13599142|0.048957635|0.00791957|0.01461673|0.06448161|0.01771053|0.09978886|-0.039327078|-0.066789195|-0.053683452|-0.008884504|-0.09479159|0.05629708|-0.099734426|0.0026996483|0.06974129|0.1490255|-0.17330453|0.04166805|-0.011515736|-0.068708494|0.00092737883|-0.004851998|0.09743455|0.06661293|-0.06570392|0.15667672|0.057314504|-0.010481977|0.021373726|-0.13543078|0.09395946|0.0048704185|-0.13062294|-0.0095301345|0.0039334553|0.011771532|0.07167098|0.008779084|0.05940584|-0.05731408|-0.09304892|0.019569669|0.05852648|-0.037451982|0.11242194|0.016943038|0.06270903|0.012008468|-0.12138874|-0.08870078|-0.09395103|-0.040508002|0.022426406|0.1141122|0.07220212|-0.09808504|0.055139657|-0.14184298|-0.085368544|0.04553789|-0.090304|-0.15182541
952;0.14818941|-0.051736087|0.068200305|0.06261444|-0.15174243|-0.036321845|0.01917628|-0.055741392|0.10301052|0.03146942|-0.045069244|-0.03356514|-0.07231937|0.085885756|-0.050886676|-0.032831017|0.023575302|-0.17753081|-0.15641114|-0.088955045|-0.02024742|0.009931351|-0.038899306|0.03661118|-0.07142853|-0.05054114|0.055729274|-0.08263264|-0.08620849|0.048248757|-0.106141634|0.0021819752|-0.10823416|0.059323754|0.08136857|-0.045583777|-0.0562858|-0.113467716|0.06765016|-0.07217796|0.06186408|-0.062363956|-0.021492772|-0.07392024|0.06338078|-0.080895945|0.08688361|0.023914617|0.09881435|-0.077405855|-0.003022346|0.019955903|0.031114388|-0.02347688|-0.006707392|0.12183895|-0.024763267|-0.05963192|-0.026131857|0.0030335714|0.11502631|0.08791658|-0.102073066|0.03332832|-0.10854182|-0.033916205|-0.04409749|0.08614476|-0.08195668|0.012437956|0.05712493|0.005159247|-0.103558935|-0.040310483|-0.06648345|-0.033652384|0.07186248|0.036834776|0.054166373|-0.15669791|-0.14802207|0.0028175612|0.10128456|0.15609397|-0.059645783|0.10304779|-0.0058041634|0.16767308|-0.033654183|0.026985744|0.064900115|-0.034063492|-0.002549161|-0.04004117|-0.055413745|0.070650406|0.13311026|-0.15408826|0.08041614|0.09020833
953;0.08580488|0.16267131|0.14287996|0.21386786|0.035940975|-0.019012632|-0.0749018|0.08164872|-0.119298875|0.031165034|0.03973642|-0.12078434|0.10967275|0.0902686|-0.062040307|-0.019825624|0.1264443|0.19817434|-0.08041196|-0.06928598|-0.041078113|0.043045476|0.14516878|0.07823206|-0.086056866|0.052438714|0.05715299|-0.1476724|-0.072217844|-0.02205019|0.052346643|-0.09900735|0.06478323|-0.036642414|0.020247836|0.011774149|0.13874738|0.16408944|0.044907346|-0.004104459|-0.1426534|0.065206245|0.02600283|0.036753464|0.0022857827|0.06877996|0.010576752|0.0030978415|-0.20579824|0.0643722|-0.108414315|0.043763958|0.001632709|-0.05248326|0.12662412|0.1025676|0.018979559|0.0019213754|0.0074317413|-0.12217884|-0.071760625|0.09182321|0.114244476|0.03345961|0.03640047|-0.025853029|-0.002535545|-0.046590246|-0.1339604|0.04057332|0.007325672|-0.041785933|-0.06946504|-0.054767583|0.09193015|-0.0018161633|-0.075793214|0.0761179|-0.09236364|0.06128035|0.012529278|-0.12471952|0.0483391|0.019007985|0.07132008|-0.020050248|-0.034045774|0.1371291|-0.023813922|0.0034309265|0.08389421|-0.07766951|0.054782417|0.036314543|-0.05804641|0.027214725|0.10304682|-0.07836397|-0.00945628|0.020485954
954;0.06520701|0.03733982|-0.14314078|-0.070286304|0.07012784|0.02931707|0.0038447378|0.1136668|0.0021714976|-0.101564705|0.088970065|-0.06290427|0.014755753|0.05094693|-0.14667325|0.04415518|-0.002890965|-0.07000806|-0.14914756|-0.0054688337|-0.03789849|0.06386765|-0.026964288|0.075138964|-0.11829833|-0.074150994|0.10138202|0.019178584|0.042297408|-0.08359291|-0.056851815|-0.044160202|0.02957301|0.072644584|0.12491729|0.047305744|-0.06332388|-0.01735176|-0.0039565186|-0.0026740255|-0.007999754|0.07810262|0.056897342|-0.0031629642|0.004633466|0.10341589|-0.031980462|0.07823768|-0.058167238|-0.00016051094|-0.010276081|0.046621144|-0.13099685|0.018530877|-0.059432816|0.03693169|0.04553451|0.047573976|0.030394478|-0.049988158|-0.025659248|0.10014955|-0.0517934|0.040180825|0.019700369|-0.030493056|-0.04285478|-0.045105897|-0.045683883|-0.15868814|-0.019577133|-0.023777688|-0.12539892|0.045793153|0.12667544|-0.12015895|0.0539595|-0.0728819|-0.06178566|-0.03471459|0.038546454|-0.0970751|-0.030732816|-0.06887272|0.03845125|0.010228639|-0.039918542|-0.036349412|-0.08105282|0.041869193|-0.036176093|-0.052418377|0.018017042|0.08323615|0.03406497|0.08972542|0.05903117|-0.115713626|0.012838206|0.06926343
955;-0.009253426|-0.09726461|0.1321374|-0.095278956|-0.09243638|-0.017863726|0.041392885|-0.08260761|-0.065047055|-0.01564451|0.044392265|-0.008637189|-0.09841747|0.15223743|0.011148502|-0.0305494|0.054517895|-0.020421548|-0.09415638|-0.046123393|0.06255882|-0.067755274|0.099423446|0.007261924|0.03175208|0.063672476|0.10664779|-0.0683255|0.06911116|-0.04080829|0.029965924|0.03920402|0.009968865|0.1099386|-0.037556652|0.052717082|0.050058413|-0.07842952|0.021204114|0.035931647|0.005161348|0.010562386|0.13125327|0.040580355|0.012165376|0.0034105787|0.0019343477|0.10429839|-0.07139812|0.037157472|-0.089596644|-0.084208705|-0.09054735|0.027271217|-0.08530245|-0.0012241225|0.04165765|-0.0045296256|0.14592972|0.011508018|0.17124483|-0.0024140412|-0.024552677|0.00642382|0.07065053|0.0025344207|-0.26944757|-0.07611321|-0.06838161|-0.03886951|0.17686999|-0.01481755|-0.11138632|0.05649822|0.015232802|-0.01865414|0.0406786|-0.06983169|0.1205771|0.13189758|-0.06941905|0.006619661|-0.0467433|-0.072610304|0.075971164|-0.020416565|-0.040991895|0.07987455|-0.092564784|-0.10824644|-0.1268748|0.040885147|-0.030313194|0.02057967|-0.067830816|-0.070487|0.010029144|-0.07055748|-0.04680278|0.09656724
956;-0.0452757|0.0017036526|0.009697187|0.01006196|0.026156412|-0.038088962|-0.014935453|-0.010191426|0.0037248102|0.022607233|-0.04492963|0.10062277|0.061382607|0.03313565|-0.03273521|-0.039869495|-0.00036423287|0.013743522|0.016035045|0.033249244|-0.022202862|-0.0035484307|0.02951222|0.0113621745|-0.035352927|-0.05078054|-0.0050469385|0.01139045|0.03483914|0.059490174|-0.070023045|0.034242667|0.05225907|0.019696215|-0.011894831|-0.029289935|-0.074536555|-0.010566354|0.051370226|-0.05998523|0.032150175|-0.030118464|-0.05383039|0.0071137883|-0.02131203|0.07252976|0.074292615|-0.0072761877|-0.08841053|-0.03988881|0.0071206647|0.08527885|-0.018164888|-0.007751942|-0.09094307|-0.024255507|0.0683006|-0.0036169307|-0.0005682636|-0.0660752|-0.038818084|0.046747725|-0.03224975|-0.025330277|0.020355769|-0.055998225|0.0021980116|0.09652655|-0.0013802595|-0.0036560823|-0.038839385|0.0017262088|0.008450264|-0.03634982|0.017471448|0.018640414|-0.0042160857|-0.057066068|-0.02933844|0.064107075|0.034950946|-0.05180085|-0.056861207|-0.015216932|0.02227611|-0.027703332|-0.04935665|-0.048817568|-0.0817301|0.03735628|0.036084138|-0.032849435|0.08049172|-0.015622993|0.0404076|0.049718056|0.00010200079|-0.015103166|-0.006892736|0.005095816
957;0.11148452|0.039228603|-0.119277|-0.005659582|0.03272209|0.11887055|0.07832662|-0.27004963|0.19619206|-0.13697414|0.07559051|-0.08126733|-0.009630456|0.052334398|-0.27162886|0.04187867|-0.029073616|-0.09520007|-0.09215332|0.05434663|-0.13379906|0.08388708|0.006318325|-0.03758629|0.14157064|0.03186917|-0.090624735|-0.10815017|0.06633497|-0.017507583|-0.10833844|0.027339924|0.12726617|-0.03247609|0.082494795|-0.1490234|-0.020633634|-0.07504373|0.08848886|-0.09674408|-0.09521985|0.016061023|-0.05328408|-0.03788301|-0.072350405|0.01740365|0.11333595|-0.11266868|0.052320726|0.015170168|0.03836249|-0.12448714|0.10464822|0.047746312|0.042198412|0.07669179|-0.111649856|-0.06941211|0.07388801|0.11793895|-0.0008594325|0.033110593|-0.078575246|0.12719527|-0.12799667|-0.017413734|0.14908433|-0.13413809|-0.16211323|0.03406201|2.2412118e-05|0.2199427|-0.07954482|-0.13488698|0.053092036|-0.075381935|-0.053359378|-0.111661404|0.08130426|-0.12385498|-0.026162114|-0.045740556|0.20030148|0.051439997|-0.17133047|0.052984536|-0.13050787|-0.053707726|0.0432366|-0.014795726|-0.024287602|-0.07771101|-0.15565725|0.089008614|-0.10778286|0.2537347|0.0337869|-0.07714447|0.0054997676|-0.22271298
958;-0.049136702|0.025453864|0.025777262|-0.10634458|-0.011413003|-0.08531733|0.051174708|0.10994084|-0.07785179|-0.07414722|0.02026278|-0.08971068|-0.038036034|0.11144234|0.17158617|-0.09045351|0.078985885|-0.1707337|0.008649553|-0.096650936|-0.0119938925|0.13263875|0.010750492|-0.044527736|-0.1300745|-0.06495298|-0.004244598|-0.045641653|-0.16362582|-0.033766076|-0.014250013|0.012546972|-0.08811985|-0.09281666|0.042621106|0.10695458|0.13427334|-0.05882579|0.060648084|-0.0910297|0.06628969|0.018580172|0.01210707|0.002163476|-0.063588664|-0.00011776318|0.079754025|0.080923215|0.022760706|-0.01714699|-0.046407383|-0.03973653|-0.06612757|0.123297766|0.031516142|0.09612502|0.06643361|0.03137045|-0.008634076|0.10465211|-0.04011311|0.13780634|0.03681722|-0.016697943|0.016634353|-0.06852938|-0.0287613|0.020914767|-0.09565577|0.061042823|0.020099621|-0.008520051|-0.0027327375|0.12686329|-0.049202483|0.027365535|-0.058799613|0.02994989|-0.0005686022|-0.11875093|0.13115987|-0.034606908|-0.04543092|0.0947134|0.056417048|0.031149907|-0.015069012|0.0070876414|-0.057739682|-0.03804252|0.008983898|-0.11540144|-0.08435735|0.065524146|0.013846747|0.010759062|0.005877565|-0.012579472|-0.039033066|0.059226524
959;0.08741706|-0.036693197|-0.0103706075|0.035057392|-0.004813658|0.0936209|0.1412216|-0.049602956|0.060584582|-0.10340695|0.15795213|0.02058016|0.0035152072|0.024179043|-0.020439118|-0.16147336|-0.04033166|-0.031372346|0.03651427|0.1382751|0.0828744|-0.056159463|-0.07787288|0.07798608|-0.0840282|-0.105121195|-0.04270126|-0.00559278|0.09778401|-0.007847194|-0.20706078|0.044633742|0.028891696|0.018641813|0.025371179|-0.11217579|0.08377538|-0.0428159|0.030126588|0.10380085|-0.036931913|0.0700872|0.08351175|-0.04756631|0.07829221|0.06059064|0.122818634|0.06683727|0.016336031|-0.0075614504|0.015711984|-0.027655257|-0.1478863|-0.059324417|-0.02695476|-0.024143593|0.0035253149|0.030543689|0.08819908|-0.056248985|0.046274558|-0.020389108|-0.13426246|-0.011857097|-0.0829902|0.16683872|-0.0001513572|0.025345465|-0.0053823297|-0.046571314|0.13500957|0.021219665|0.04165602|0.0712755|0.028638097|0.03537435|-0.079178564|-0.093440704|-0.055827264|-0.014924756|0.004089108|0.005903063|-0.018742442|0.07576016|-0.031573005|-0.02703132|-0.043743346|0.07838288|-0.07062068|-0.101999395|-0.023035953|0.036796488|0.05777249|-0.084363036|-0.10439994|0.01385318|-0.048006892|-0.082309306|-0.069212005|-0.057149705
960;0.03431318|-0.18926789|-0.07595598|0.0031734742|0.07762387|0.0014523767|0.08504052|-0.18497051|0.07241703|-0.17981513|-0.0241575|0.03080921|-0.0030177839|-0.11474157|-0.01826083|0.011883276|-0.06349903|0.03789315|-0.0033000957|-0.046430834|0.0109639065|0.05456632|-0.050939575|0.011421972|-0.1269746|0.044650797|-0.08137972|-0.15648894|-0.09883598|0.123016275|-0.049183868|0.017366434|0.03299175|0.054842323|-0.051874027|0.09264743|-0.09966378|0.013873211|0.04835329|0.06544235|0.0608487|-0.116267025|-0.11628838|0.11309997|-0.09834625|-0.080392785|-0.04134826|-0.076480806|-0.17667615|-0.08852811|0.017752547|0.074437246|-0.08321309|-0.026251987|0.07243198|0.06933622|-0.032706283|-0.07639169|0.035064027|0.021159586|-0.06686358|0.04831441|-0.010516089|-0.07741531|0.003353125|0.06316556|0.052719045|-0.02536702|0.1634856|0.048269153|-0.07224222|0.17130665|0.03453244|-0.12354931|-0.108009145|-0.08605345|-0.042362392|0.09105132|0.17469326|-0.041531872|-0.19313304|-0.07176126|0.11162844|0.1025383|0.040377535|-0.017810937|-0.0476834|0.085562885|-0.16581166|0.10128881|-0.042103287|-0.034908425|0.04085534|-0.04780484|-0.054743458|0.09792898|0.061532225|-0.048854724|0.081361204|0.12584135
961;0.014904285|0.1376|0.014546546|0.091487534|-0.039463975|-0.073022775|0.037860043|0.07921921|0.1574562|-0.014230143|0.06570961|0.06135402|-0.006456956|0.03838531|0.034909934|0.106449686|0.007227175|0.039598614|-0.07565214|0.025107745|-0.11651023|-0.056492023|-0.07623564|-0.00087621756|0.15482052|-0.08491681|-0.14007828|-0.029521016|-0.108127154|0.11839158|0.011534745|0.19871989|-0.0078156|-0.1348726|0.09746246|-0.06054129|-0.064990945|-0.10123584|0.09563765|-0.09913632|0.05981319|-0.14613862|0.019911494|0.020598605|0.040292446|0.023409262|0.004778342|0.000368848|0.111131705|0.054359436|-0.0032277477|0.08201057|-0.073655866|0.013548573|-0.04508812|-0.055786867|0.04921643|0.04649854|-0.016586082|-0.003042422|0.09446325|-0.012017175|-0.10749094|0.03581724|-0.001998525|-0.08444339|-0.028044483|0.046952967|-0.090701565|-7.5126365e-05|-0.055632766|0.008127303|-0.1611989|0.11760818|-0.069125235|-0.14858907|-0.06266906|0.08863687|0.06334786|0.017553234|0.29309228|-0.046727058|-0.033086173|-0.057423476|-0.06584881|0.0897842|-0.044488907|0.028273622|0.20931767|-0.087202445|-0.042269647|0.09949746|-0.21623966|-0.03436223|-0.076795645|0.061560575|0.02482482|0.11844566|-0.12429578|-0.255618
962;0.01443767|0.003937072|-0.2858853|0.014729809|0.09691734|0.07224406|-0.12232802|0.008100757|0.048445225|-0.07144344|0.06668325|0.03447137|-0.06659355|0.034405336|0.18421338|0.0077567073|0.14493039|-0.12708487|0.050986644|0.05313417|0.05161025|0.06442622|0.14599264|-0.002701072|-0.072298855|-0.21722065|-0.01214453|0.09512259|-0.059663385|-0.021042503|0.08846905|0.029592762|-0.012586644|0.11681744|-0.003927136|-0.06218379|0.008918366|-0.017268108|0.017199744|0.0023416763|0.11763842|0.080243714|0.062037356|-0.044266224|-0.041174565|0.07324432|-0.11208108|-0.05488324|-0.084015414|0.10616748|0.037639517|0.00786962|0.08909248|0.012127012|-0.037202917|-0.068106|-0.0121309105|0.0503539|-0.0461227|-0.05919587|-0.0016827786|-0.010813836|-0.008084704|0.098058574|0.1276974|-0.05168122|-0.06346578|0.113776974|-0.0010570282|-0.04584033|0.014087537|0.057978686|0.08742212|-0.10886647|-0.118849196|0.06156099|-0.06467257|0.124315225|-0.16854556|0.15152709|0.08287535|0.06194246|0.0650951|-0.087993875|0.1992121|0.10509255|0.049921624|-0.04821745|-0.023751354|0.0033974424|-0.04709553|0.028547069|-0.12797727|-0.1825539|-0.05785505|-0.06641844|-0.0008890473|0.011888557|-0.08155516|0.024941051
963;-0.3000695|-0.06210286|-0.33727425|0.030126233|0.03737043|-0.03909729|0.07767798|0.1259233|0.015938044|-0.045516662|0.012709399|0.040370286|0.2192613|-0.043404017|-0.036741793|0.012517603|-0.07467001|0.08829539|-0.027183145|-0.12803073|-0.00090063014|-0.2056831|0.123438925|0.06892888|0.12692809|0.2672804|0.1091285|-0.048782595|-0.08700562|-0.01368483|0.030760173|0.1579165|-0.18365729|-0.025674505|-0.036735807|-0.28980193|-0.01578471|0.074756905|-0.15319513|0.082755|-0.033398613|0.105997846|0.057917517|0.02350781|0.36176896|-0.027677791|0.006076887|0.06083342|0.05263373|0.11612272|0.017980604|0.12372076|-0.111925505|-0.024448205|0.0504927|0.096227504|0.11212893|0.1708825|-0.053088173|0.022569595|-0.046581272|-0.15868911|-0.099358216|-0.07664568|0.09018408|0.044500805|0.034379654|-0.15767859|-0.15804058|-0.008093384|-0.16098464|-0.01807149|0.071116544|0.022096574|-0.20784605|0.11408987|-0.026838584|0.049682185|0.040486537|0.14112003|0.2273904|0.041274056|-0.1329902|-0.07075468|-0.08024692|-0.033537477|0.13268639|-0.15347202|0.060333356|-0.10281712|0.21499504|-0.092835575|0.082188204|0.11897228|-0.15991667|-0.094811335|-0.081890166|0.10592772|-0.0059678275|-0.10651701
964;0.07634168|0.012119876|0.06806692|0.084685765|-0.09775618|-0.019335112|-0.07817096|0.12452653|0.018534299|-0.021331714|-0.013504353|-0.047397863|0.049346622|-0.038836956|0.025510717|0.026525667|0.03852792|-0.04349218|-0.14842214|0.042566523|0.112337515|-0.07620381|-0.04747036|0.0016708132|-0.01259415|0.08857635|-0.05669482|0.082476854|0.0130540775|-0.081041664|-0.024110908|-0.013415688|0.03077169|0.05665531|0.0075980276|0.019262537|0.02000897|-0.06407542|-0.08089407|-0.042530734|1.4346516e-05|0.048621744|0.03828224|0.09637005|0.043242626|0.040650524|0.08500121|-0.0044271755|-0.019907858|0.023592938|-0.11659988|-0.038585834|-0.002203874|-0.0912013|0.04924345|-0.063596845|0.07508421|-0.064857535|-0.014480459|0.009055015|-0.0023360963|0.022865048|-0.07946946|0.041519787|-0.01577699|-0.003501569|-0.069265336|0.07772133|-0.044091843|0.09397068|0.1531783|0.11728111|-0.087122686|0.017343516|0.09842953|-0.0017305537|0.017381122|0.014901781|-0.036473826|-0.020036891|0.10077892|-0.016285682|-0.061482843|-0.037276268|0.054958925|0.021134928|0.013791438|0.06412938|0.020727862|-0.0108737685|-0.00061198836|0.04750776|0.15436336|0.0031831523|-0.043667126|-0.02434463|0.03378247|-0.05830183|0.087660626|-0.0077248323
965;-0.116950415|-0.039811432|-0.15605351|0.15819308|0.038096275|-0.14496484|0.0016267584|0.17428355|-0.16144523|0.026936585|-0.056607433|-0.04241473|-0.04838632|0.015304166|-0.036699206|0.1910174|-0.038497947|-0.028145162|0.04062287|-0.06034022|-0.012209106|0.070286416|0.056017816|-0.09323231|0.031700317|0.054010633|0.050718486|0.14530237|-0.001555196|-0.049739905|-0.0431742|0.00046631193|-0.030217338|-0.05049748|0.072670504|-0.0036692624|-0.059130896|0.1117964|-0.043197136|0.01776537|0.037717856|0.04867947|-0.054526407|0.07564544|-0.05992586|-0.0281163|0.0019615125|0.02941177|0.021165952|0.06706332|0.009619513|0.0641551|0.04334431|-0.0027458756|0.04088414|0.049524944|0.027937323|0.028356232|-0.07173732|-0.04988483|-0.10589812|0.021255475|-0.085559405|-0.012792843|0.02227479|-0.04660994|-0.07470483|0.026668075|-0.048524085|0.001673387|0.028542712|-0.008154624|-0.029131012|0.16221856|0.013609311|0.029788885|0.057546534|0.12720908|-0.19781221|-0.00011229739|0.08153364|-0.07679618|-0.03931741|-0.115273915|-0.020708581|0.072251335|0.061541796|-0.18051015|0.04574126|-0.023280572|0.106230535|-0.05209292|-0.13151546|-0.056377713|0.023979982|0.033959217|0.13401163|-0.053397562|0.057746053|-0.038896862
966;0.030060777|-0.007788224|-0.051821604|-0.15190609|0.0057540745|0.026993325|-0.03129678|-0.052192964|0.031642493|0.07542233|0.02047374|0.08140968|0.058504507|-0.009436388|-0.09778622|-0.026544897|0.13764483|0.053994827|-0.06552362|-0.15366055|-0.011929427|-0.04513322|0.07863183|0.04607439|-0.07432603|-0.10374041|-0.0143541945|-0.043081455|-0.006047245|-0.13140519|0.1033244|-0.09459534|0.022212373|0.032369|0.057398163|0.048813023|0.028538272|0.08498329|-0.019626971|0.0150881875|-0.09415764|0.14583726|0.07691317|0.10839851|-0.014526036|0.054107927|0.0461638|-0.119443245|0.025193796|0.024918227|-0.058899406|-0.0030774993|0.0014476584|0.010044854|0.05949895|-0.009174423|0.07380367|-0.07377392|0.13029104|0.0035529027|-0.08111925|-0.035047404|-0.009547637|0.082025774|0.0627132|0.135097|0.006827925|0.087471075|0.12238816|-0.04517928|-0.065401345|0.030008916|0.1475718|-0.015143896|-0.059427477|0.018070098|-0.030823886|0.06480025|-0.082847826|0.0065874816|-0.10480864|-0.027076306|0.063234404|-0.12556921|-0.0018155529|-0.021510813|-0.0149135655|0.021275414|-0.083372526|0.1119002|0.053329982|-0.12920384|0.009518513|-0.079392105|-0.06231583|-0.104949914|0.08665502|-0.0068374034|0.003435106|0.051964644
967;-0.1291451|-0.010038829|0.08425831|0.1412654|0.09417254|-0.06893614|-0.01241522|-0.01752223|-0.012692215|-0.12448841|-0.018611073|-0.027529003|0.09175244|-0.03406112|0.10237964|-0.0093499|-0.10421177|-0.028924873|0.06778354|-0.019418843|0.058212947|-0.04899999|0.071068175|-0.06853074|0.046061702|0.13576196|0.07150234|0.05595881|0.045567974|-0.015125166|0.03730676|0.071852915|-0.025596231|0.031303614|0.022610312|-0.04881551|0.03678081|0.00056088454|-0.017307244|0.10205562|-0.06753023|-0.01929175|-0.054232858|-0.14827873|-0.1684051|0.014215421|-0.18193543|-0.014952877|-0.0588374|-0.08060757|-0.0363807|0.007606546|-0.023823392|0.07385197|-0.06509442|-0.099565774|-0.047308475|-0.025728976|0.12748635|-0.0063517|-0.044611562|0.050680123|-0.117312536|0.0053543225|0.09570434|-0.01908533|0.034202494|-0.047368214|0.08295819|0.004020464|-0.05455292|-0.023585575|0.015962454|0.017706772|-0.18814522|0.0008620387|0.08222201|0.04084289|-0.045638766|0.05199808|-0.111963145|0.06331056|-0.13385016|0.04604473|0.023309965|-0.094246015|-0.083660424|-0.022909759|-0.039984543|-0.08828871|0.0061127683|0.0005471059|0.0030210263|-0.03378085|-0.069029264|-0.33358032|-0.04113726|0.13950749|0.017427323|0.0019303134
968;0.16897865|-0.1393352|-0.14162607|0.03134726|-0.03722105|-0.33862817|-0.006463977|-0.06761765|-0.015558606|-0.02742401|0.06613647|-0.19470103|0.21208514|0.04122527|-0.16131423|0.06281031|-0.038449094|0.08088058|-0.022173198|0.029093053|0.049218535|0.03962261|0.09580914|-0.09803301|0.032226905|0.0706512|-0.07280945|-0.09077758|-0.019722607|0.10250446|0.03204789|0.11182705|-0.11967191|0.038298577|0.057199884|0.102726854|0.09122265|0.16394427|0.0025279033|0.037856925|0.05648444|-0.15603054|-0.08988133|-0.016990079|0.052486856|0.102415256|-0.075795084|-0.11184192|-0.05285564|-0.038070075|0.05947044|-0.0068066656|-0.035771165|0.08215433|0.0672604|-0.055725794|0.03974666|0.066274114|0.057608932|0.20506497|0.044392224|0.06328332|0.009790279|-0.001487012|-0.018652162|0.13996388|0.15519646|0.037350148|-0.02881981|0.01880605|0.14261557|0.078396924|0.010278327|-0.115014195|-0.013089043|0.05097157|0.047980115|0.12370426|-0.061233357|0.04982719|0.082199566|-0.07884731|-0.08910333|0.06981049|-0.029132048|-0.053705607|0.106037416|0.038760815|0.03156038|-0.1132099|0.10222815|-0.18099672|-0.20996238|-0.07781623|-0.07780792|0.065932825|-0.08187487|-0.030696241|-0.18333952|0.030003678
969;-0.042685136|0.043029897|-0.2220321|0.011145371|0.05288544|0.07130201|0.05311001|-0.103905804|0.023379417|0.090131484|0.17329542|-0.04599153|0.1897359|-0.10220452|-0.13055435|-0.0201917|0.16560403|0.12894712|0.026307356|0.023666024|0.13442375|-0.023825191|-0.00877835|0.0054134056|-0.0328347|-0.121176116|-0.11537563|-0.009167915|-0.031725954|0.28904518|-0.06061293|0.10313995|-0.027685704|-0.18508364|-0.0027934557|0.045467846|0.066622466|0.09809583|-0.04793762|-0.0046511334|0.00241176|-0.06404981|0.061374016|0.042099264|0.069606826|-0.1191187|-0.02640326|-0.11780235|0.06532748|0.17796023|-0.102997355|0.0012237726|-0.031303987|0.029017286|-0.042020503|-0.09923229|0.023935681|-0.14298618|-0.119621515|0.022219628|0.009642808|0.04053309|0.04625549|-0.064567156|-0.2397866|0.15536216|-0.08838358|-0.037572294|0.052776508|-0.120437495|0.032764558|-0.057168223|-0.06745289|-0.0702772|0.03409611|-0.026259962|0.06530071|-0.11146783|0.123305075|-0.065203555|0.09984007|0.001365102|-0.19321175|-0.039247528|-0.025604656|-0.00083691126|-0.021033766|-0.069540426|0.14514457|-0.0598831|-0.075459585|-0.15867987|-0.0721257|0.07281964|-0.009071003|-0.0036295138|-0.07949312|0.04664964|0.16316842|0.045274924
